--- asteroids vs asteroids ---
--- asteroids vs asteroids ---
0 1 0.00984771 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623506 -0.482596
1 2 0.00588254 0.785398
1 3 0.00394683 0.502714
1 4 0.00254093 -0.785398
2 3 0.00133716 0.710952
2 4 0.00260916 -0.23628
3 4 0.00196344 0.785398
--- asteroids vs planets ---
0 0 0.0421596 -0.115785
0 1 0.0240521 -0.618539
0 2 0.0183015 -0.0259843
0 3 0.0262777 -0.785398
0 4 0.346922 0.785398
1 0 0.029998 0.785398
1 1 0.112258 0.785398
1 2 0.0206071 0.785398
1 3 0.129749 -0.0117778
1 4 0.0172215 -0.785398
2 0 0.0524783 -0.73818
2 1 0.122634 0.0310303
2 2 0.0992368 -0.785398
2 3 0.0180609 0.32965
2 4 0.0158361 -0.615575
3 0 0.0699054 0.72597
3 1 0.0265833 0.785398
3 2 0.234808 0.785398
3 3 0.00923384 0.785398
3 4 0.0259009 0.0919111
4 0 0.036581 0.441386
4 1 0.0369048 -0.166401
4 2 0.017161 0.330306
4 3 0.0912015 -0.785398
4 4 0.059821 0.785398
5 0 0.0327817 0.785398
5 1 0.142697 0.785398
5 2 0.0236625 0.785398
5 3 0.0966194 -0.00987962
5 4 0.0174168 -0.785398
6 0 0.057119 -0.64021
6 1 0.108501 0.214751
6 2 0.129781 -0.785398
6 3 0.0159136 0.3951
6 4 0.0157634 -0.561401
7 0 0.0475573 -0.581724
7 1 0.0200723 -0.785398
7 2 0.0222414 -0.313973
7 3 0.0157765 0.785398
7 4 2.83529 -0.785398
8 0 0.028802 0.655804
8 1 0.0384488 0.105868
8 2 0.0153566 0.486488
8 3 0.260572 -0.785398
8 4 0.035194 0.785398
9 0 0.0314924 0.785398
9 1 0.090194 0.771942
9 2 0.020439 0.785398
9 3 0.322827 -0.0173541
9 4 0.0209367 -0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00984772 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.0062351 -0.482595
1 2 0.00588254 0.785398
1 3 0.00394683 0.502715
1 4 0.00254094 -0.785398
2 3 0.00133716 0.710952
2 4 0.00260917 -0.236279
3 4 0.00196344 0.785398
--- asteroids vs planets ---
0 0 0.0421596 -0.115784
0 1 0.0240521 -0.618539
0 2 0.0183015 -0.0259842
0 3 0.0262777 -0.785398
0 4 0.346922 0.785398
1 0 0.029998 0.785398
1 1 0.112257 0.785398
1 2 0.0206071 0.785398
1 3 0.129749 -0.0117774
1 4 0.0172215 -0.785398
2 0 0.0524783 -0.738181
2 1 0.122635 0.0310298
2 2 0.0992368 -0.785398
2 3 0.0180609 0.329651
2 4 0.0158361 -0.615575
3 0 0.0699054 0.725971
3 1 0.0265834 0.785398
3 2 0.234808 0.785398
3 3 0.00923384 0.785398
3 4 0.025901 0.0919126
4 0 0.036581 0.441386
4 1 0.0369047 -0.166401
4 2 0.017161 0.330306
4 3 0.0912014 -0.785398
4 4 0.0598211 0.785398
5 0 0.0327817 0.785398
5 1 0.142697 0.785398
5 2 0.0236624 0.785398
5 3 0.0966197 -0.00987922
5 4 0.0174169 -0.785398
6 0 0.0571191 -0.640211
6 1 0.108502 0.21475
6 2 0.129781 -0.785398
6 3 0.0159136 0.3951
6 4 0.0157635 -0.561401
7 0 0.0475573 -0.581724
7 1 0.0200723 -0.785398
7 2 0.0222414 -0.313973
7 3 0.0157765 0.785398
7 4 2.83518 -0.785398
8 0 0.028802 0.655804
8 1 0.0384488 0.105869
8 2 0.0153565 0.486488
8 3 0.260571 -0.785398
8 4 0.0351941 0.785398
9 0 0.0314923 0.785398
9 1 0.0901938 0.771941
9 2 0.0204389 0.785398
9 3 0.322829 -0.0173534
9 4 0.0209368 -0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00984773 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623514 -0.482594
1 2 0.00588255 0.785398
1 3 0.00394683 0.502715
1 4 0.00254095 -0.785398
2 3 0.00133716 0.710952
2 4 0.00260918 -0.236278
3 4 0.00196345 0.785398
--- asteroids vs planets ---
0 0 0.0421595 -0.115784
0 1 0.0240521 -0.618538
0 2 0.0183015 -0.0259842
0 3 0.0262777 -0.785398
0 4 0.346921 0.785398
1 0 0.029998 0.785398
1 1 0.112257 0.785398
1 2 0.0206071 0.785398
1 3 0.12975 -0.0117768
1 4 0.0172216 -0.785398
2 0 0.0524784 -0.738181
2 1 0.122635 0.0310293
2 2 0.0992368 -0.785398
2 3 0.0180609 0.329651
2 4 0.0158362 -0.615575
3 0 0.0699055 0.725971
3 1 0.0265834 0.785398
3 2 0.234808 0.785398
3 3 0.00923384 0.785398
3 4 0.0259011 0.0919142
4 0 0.0365809 0.441386
4 1 0.0369047 -0.1664
4 2 0.017161 0.330306
4 3 0.0912012 -0.785398
